,0,1,2,3,4,5,6,7
0,0,1,1,0,1,1,1,1
1,0,1,1,1,0,0,1,0
2,1,0,1,1,0,0,0,0
3,1,1,0,0,0,0,0,1
4,0,0,0,0,0,1,1,0
5,1,1,0,0,0,0,0,0
6,0,1,0,1,1,1,1,1
7,1,0,1,0,0,0,0,0
8,0,0,1,1,0,1,0,0
9,0,1,0,1,0,1,0,1
10,0,0,1,0,1,1,1,1
11,1,0,1,0,0,1,1,0
12,1,1,0,1,1,1,1,0
13,0,0,0,0,1,1,1,1
14,1,0,0,1,0,1,0,1
15,0,0,1,0,1,0,0,0
16,0,1,1,1,0,1,0,0
17,0,0,1,0,1,1,0,0
18,0,0,1,0,1,0,1,1
19,0,0,0,0,1,0,1,1
20,1,0,1,1,0,1,1,0
21,1,1,0,1,1,1,0,1
22,1,1,1,1,1,1,1,1
23,1,0,0,1,1,1,0,0
24,1,0,1,0,0,0,0,1
25,1,1,1,0,1,0,0,0
26,1,0,0,1,1,1,1,1
27,1,1,0,0,0,1,1,0
28,0,0,1,0,1,1,0,1
29,1,1,1,1,1,1,1,1
30,0,1,1,1,0,0,0,1
31,0,0,1,0,0,0,1,1
32,0,0,1,1,0,1,1,0
33,1,1,1,0,1,0,0,0
34,1,1,0,0,1,0,1,0
35,1,0,1,0,0,1,1,1
36,0,1,0,1,0,1,1,1
37,1,1,0,0,0,0,1,0
38,1,0,1,1,1,0,1,1
39,0,1,0,1,1,1,0,1
40,0,0,0,0,1,0,1,1
41,1,0,1,0,0,0,1,1
42,0,1,0,0,0,1,1,0
43,1,1,0,0,0,0,1,1
44,0,1,0,0,0,0,1,1
45,0,1,0,0,0,1,0,1
