,0,1,2,3,4,5,6,7
0,4,3,4,6,6,8,8,8
1,6,3,6,7,5,5,2,6
2,2,2,2,7,2,4,5,5
3,8,4,2,8,2,7,3,3
4,2,4,4,5,7,4,8,7
5,8,3,8,3,2,3,3,5
6,7,7,8,7,3,2,5,5
7,3,3,5,7,7,5,3,6
8,4,5,3,2,4,7,6,3
9,6,4,3,5,7,4,7,2
10,4,6,8,8,8,3,8,7
11,8,4,7,8,5,2,8,4
12,6,5,2,3,6,7,3,2
13,7,4,2,6,4,8,7,3
14,6,2,5,5,5,2,6,6
15,8,7,7,3,7,6,3,2
16,4,2,7,4,2,4,4,8
17,5,6,4,8,6,5,5,8
18,5,5,2,4,4,8,5,3
19,7,2,6,4,8,3,7,5
20,3,6,7,7,4,6,4,3
21,7,8,6,7,4,4,6,5
22,7,3,8,4,8,5,4,7
23,3,2,6,8,3,2,7,5
24,4,2,8,7,5,7,6,5
25,7,8,3,7,5,7,7,4
26,5,7,8,6,3,6,4,4
27,8,7,6,7,6,2,7,7
28,2,7,4,6,8,8,3,8
29,7,6,5,6,6,8,5,2
30,2,2,3,2,7,6,6,6
31,4,5,3,6,4,8,5,7
32,4,8,4,8,7,7,3,6
33,2,5,2,2,6,8,3,5
34,3,3,4,2,8,5,4,6
35,8,5,7,5,4,7,3,2
36,2,2,8,2,7,5,7,2
37,6,7,3,4,5,6,2,8
38,2,2,3,8,8,2,7,2
39,3,4,6,5,2,4,6,5
40,6,6,2,2,6,6,4,2
41,8,8,2,5,2,2,2,3
42,2,5,2,3,3,2,5,2
43,4,5,4,4,7,7,4,8
44,4,2,7,8,7,8,8,2
45,6,6,3,8,5,3,3,8
