,0,1,2,3,4,5,6,7
0,5,6,3,7,8,9,4,10
1,10,5,7,6,9,8,3,4
2,10,8,7,9,3,4,6,5
3,3,4,5,7,9,10,8,6
4,7,8,5,4,9,6,3,10
5,4,9,5,8,10,6,7,3
6,5,10,3,6,8,4,9,7
7,8,5,6,3,10,4,7,9
8,9,5,3,7,8,4,6,10
9,5,6,3,9,7,10,8,4
10,5,8,9,4,10,7,6,3
11,4,5,8,9,6,10,3,7
12,3,6,10,5,7,4,9,8
13,3,8,7,5,6,10,9,4
14,7,8,10,6,5,4,3,9
15,3,7,6,8,9,4,10,5
16,9,4,3,5,7,8,10,6
17,3,7,5,6,4,9,10,8
18,4,5,7,10,6,8,9,3
19,9,3,6,8,5,7,4,10
20,7,4,8,6,5,3,9,10
21,4,3,8,10,5,9,7,6
22,9,3,8,4,10,5,7,6
23,3,7,5,10,9,8,6,4
24,5,4,8,6,7,3,10,9
25,7,10,5,6,9,4,8,3
26,6,10,5,7,3,8,4,9
27,6,10,5,8,4,7,9,3
28,3,4,5,6,10,9,8,7
29,6,3,5,10,4,9,8,7
30,6,10,5,4,8,7,3,9
31,7,9,6,3,8,5,4,10
32,6,3,7,8,10,4,9,5
33,10,3,5,4,6,8,9,7
34,8,6,4,7,3,9,10,5
35,8,7,9,5,4,6,3,10
36,10,6,3,9,4,8,5,7
37,4,10,3,6,7,8,5,9
38,6,10,7,5,9,8,4,3
39,9,4,10,8,7,3,6,5
40,3,9,8,7,5,6,10,4
41,9,6,4,10,5,8,7,3
42,7,10,9,6,8,3,5,4
43,6,4,9,3,7,5,8,10
44,5,10,6,8,4,3,7,9
45,10,5,4,3,8,7,9,6
