,0,1,2,3,4,5,6,7
0,1,0,1,1,0,0,1,0
1,0,1,1,1,1,0,1,1
2,0,1,0,1,1,0,0,1
3,0,1,0,0,0,0,0,1
4,1,0,0,0,0,1,0,1
5,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,1
7,0,1,0,0,0,1,1,1
8,1,1,0,0,1,1,1,1
9,1,0,1,0,1,0,1,1
10,0,1,0,1,0,1,0,1
11,0,1,1,0,0,0,0,1
12,0,0,0,1,0,0,0,1
13,0,1,1,0,1,0,0,1
14,0,0,0,1,1,0,0,1
15,1,0,0,0,1,0,0,1
16,1,0,0,1,1,0,0,0
17,1,0,0,0,0,0,1,1
18,1,0,0,1,1,1,1,0
19,1,0,1,1,1,1,0,1
20,0,1,1,1,1,1,0,0
21,1,0,0,1,1,1,0,1
22,0,0,1,0,1,0,0,1
23,1,0,1,0,1,1,0,1
24,0,1,1,1,0,0,1,0
25,0,1,1,0,0,0,1,0
26,1,0,1,0,1,0,1,0
27,1,1,1,0,0,0,0,0
28,1,1,0,1,0,0,1,0
29,1,0,0,1,0,0,1,0
30,1,0,0,0,0,1,0,1
31,0,0,1,1,0,0,0,1
32,1,1,0,1,1,1,1,1
33,0,1,0,0,1,1,0,1
34,1,0,0,0,1,1,0,0
35,1,1,1,1,0,1,1,1
36,1,0,0,0,0,1,0,1
37,1,1,1,0,1,0,0,0
38,1,1,1,1,1,0,0,0
39,0,0,1,1,0,0,1,0
40,0,0,1,0,1,0,1,1
41,1,1,0,1,0,0,0,0
42,1,0,0,0,0,1,0,0
43,0,1,0,0,0,0,1,1
44,0,0,1,1,0,1,1,0
45,0,1,0,0,1,0,0,1
