,0,1,2,3,4,5,6,7
0,1,1,0,1,0,1,0,1
1,1,1,0,0,0,0,0,1
2,0,0,0,1,1,0,1,1
3,1,0,1,1,1,1,1,1
4,1,0,0,0,0,1,1,1
5,0,0,0,0,1,0,0,1
6,1,0,1,1,1,1,0,1
7,0,0,0,0,1,0,1,0
8,1,1,1,1,1,0,0,1
9,0,1,1,0,1,0,1,0
10,0,1,1,0,0,0,0,1
11,0,1,0,1,1,0,1,0
12,0,1,1,1,0,0,0,0
13,1,1,1,1,1,0,0,1
14,0,0,1,0,0,0,0,1
15,0,0,0,1,1,1,1,1
16,1,1,0,0,1,1,0,0
17,1,1,0,1,0,0,0,1
18,1,0,0,1,1,0,0,0
19,0,1,1,0,1,0,0,0
20,0,1,0,0,0,1,0,0
21,0,0,1,0,1,0,0,0
22,1,0,0,0,0,0,1,0
23,1,0,1,1,1,1,0,0
24,0,0,0,1,1,0,0,1
25,0,0,0,1,1,0,1,0
26,0,1,1,1,0,1,1,0
27,0,1,1,0,0,1,0,1
28,0,1,0,0,1,1,1,1
29,0,0,1,0,1,0,1,1
30,0,0,1,0,0,0,1,0
31,1,0,1,1,0,1,1,0
32,0,0,1,0,0,1,0,0
33,1,0,0,1,0,0,0,0
34,0,1,1,1,1,1,1,0
35,0,0,1,1,0,0,0,1
36,1,1,0,0,0,0,0,1
37,0,1,0,1,0,0,0,0
38,1,0,1,0,0,1,1,1
39,1,0,1,1,0,0,1,1
40,0,1,0,1,0,0,0,0
41,1,0,1,0,0,1,0,0
42,1,1,0,0,0,1,1,0
43,0,0,0,1,0,0,1,0
44,1,0,1,1,0,0,0,0
45,0,1,0,1,0,0,0,1
