,0,1,2,3,4,5,6,7
0,1,0,1,1,,,,
1,1,0,0,1,0.0,,,
2,1,0,0,0,1.0,,,
3,0,1,1,0,1.0,,,
4,1,1,0,0,0.0,,,
5,0,1,1,0,1.0,,,
6,1,1,0,1,1.0,,,
7,1,1,0,0,0.0,,,
8,0,0,1,0,0.0,,,
9,0,1,1,1,0.0,,,
10,0,1,0,1,1.0,,,
11,1,0,0,1,0.0,,,
12,0,0,0,1,,,,
13,0,1,1,1,,,,
14,0,0,1,1,,,,
15,0,0,1,1,,,,
16,0,1,0,0,,,,
17,0,0,0,1,,,,
18,0,1,0,1,,,,
19,0,0,1,0,0.0,,,
20,0,0,0,0,0.0,,,
21,0,1,0,1,1.0,,,
22,0,1,0,0,1.0,,,
23,1,1,0,0,0.0,,,
24,0,1,1,0,1.0,,,
25,1,0,1,1,1.0,,,
26,1,0,1,0,1.0,,,
27,0,0,0,1,0.0,,,
28,1,1,1,1,1.0,,,
29,0,0,0,1,1.0,,,
30,1,0,1,1,0.0,,,
31,1,1,0,1,0.0,,,
32,1,0,0,1,1.0,0.0,0.0,1.0
33,0,0,0,1,,,,
34,1,1,1,0,,,,
35,0,1,1,0,,,,
36,0,0,1,0,,,,
37,0,1,1,1,,,,
38,0,0,1,1,,,,
39,0,1,1,0,,,,
40,1,0,0,0,,,,
41,1,1,0,1,,,,
42,1,1,1,0,,,,
43,0,0,1,1,,,,
44,1,1,0,0,,,,
45,1,1,0,0,,,,
46,0,0,0,0,,,,
47,1,0,1,0,,,,
48,0,1,0,0,,,,
49,1,1,1,0,,,,
50,0,1,1,0,0.0,,,
51,0,0,0,1,0.0,,,
52,1,0,0,0,0.0,,,
53,1,1,1,0,0.0,,,
54,1,1,0,0,1.0,,,
55,0,1,1,1,1.0,,,
56,0,0,0,0,1.0,,,
57,1,0,0,1,,,,
58,1,1,0,0,,,,
59,0,1,1,0,,,,
60,1,0,0,1,,,,
61,0,0,1,0,,,,
62,0,1,1,0,,,,
63,0,1,1,0,,,,
64,0,1,1,1,,,,
65,0,0,0,0,,,,
66,0,1,1,0,,,,
67,1,0,1,1,,,,
68,0,0,1,1,,,,
69,1,1,1,0,1.0,,,
70,0,1,1,1,0.0,,,
71,1,1,1,0,1.0,,,
72,0,0,1,0,0.0,,,
73,1,1,0,0,1.0,,,
74,1,0,1,0,0.0,,,
75,0,1,0,0,0.0,,,
76,0,0,0,1,0.0,,,
77,1,0,0,1,0.0,,,
78,0,0,1,0,1.0,,,
79,0,0,0,1,,,,
80,0,1,1,0,,,,
81,0,0,1,1,,,,
82,0,1,0,0,,,,
83,1,1,1,0,,,,
84,1,0,0,1,,,,
85,0,0,0,0,,,,
86,0,0,0,1,,,,
87,0,0,0,1,,,,
88,0,0,1,0,0.0,,,
89,0,1,0,0,1.0,,,
90,0,1,0,0,0.0,,,
91,0,1,0,0,0.0,,,
92,1,0,1,1,0.0,,,
93,1,0,1,1,0.0,,,
94,0,0,0,0,0.0,,,
95,1,1,1,0,1.0,,,
96,0,1,1,0,1.0,,,
97,0,1,0,0,1.0,,,
98,0,1,0,1,0.0,,,
99,1,0,0,0,0.0,,,
