,0,1,2,3,4,5,6,7
0,14,9,19,12,18,21,17,3
1,22,17,7,2,18,21,18,19
2,22,10,4,13,14,21,7,10
3,20,16,23,18,22,15,4,15
4,3,19,22,3,20,5,11,14
5,9,21,4,15,9,6,22,5
6,20,8,16,22,5,5,8,19
7,2,10,2,21,12,9,5,13
8,23,9,21,6,3,20,21,5
9,5,16,23,14,17,11,19,2
10,3,6,14,4,8,9,5,21
11,17,15,2,17,8,6,9,11
12,3,3,11,20,6,12,18,19
13,12,3,22,8,22,17,15,10
14,16,7,13,23,6,6,14,21
15,13,8,19,9,18,8,11,10
16,23,12,12,23,13,4,12,3
17,15,5,9,17,5,12,4,11
18,10,16,2,6,13,16,9,6
19,2,6,23,9,16,5,22,7
20,15,10,2,19,16,8,21,15
21,6,13,23,13,14,11,23,18
22,8,12,10,20,19,17,3,20
23,12,7,6,23,5,20,2,5
24,20,7,23,11,20,15,17,10
25,4,21,5,18,21,10,12,21
26,5,10,11,12,3,22,5,22
27,21,2,17,13,7,11,5,22
28,20,11,11,9,11,22,7,22
29,4,10,13,10,8,19,17,20
30,14,19,21,12,3,13,23,7
31,21,2,22,20,4,15,21,15
32,19,16,13,7,5,16,3,10
33,10,5,14,12,22,11,9,11
34,19,11,22,17,6,9,9,23
35,10,13,11,10,2,22,18,23
36,23,15,9,10,4,20,4,16
37,13,2,13,18,17,16,8,4
38,3,22,19,10,22,14,11,6
39,4,16,8,10,19,13,6,23
40,17,14,7,23,21,23,17,6
41,12,20,18,21,23,11,21,21
42,7,2,18,3,15,19,11,9
43,7,12,6,17,4,16,7,6
44,17,21,8,8,4,20,20,18
45,6,8,12,12,13,19,16,17
