,0,1,2,3,4,5
0,4,3,7,6,5,8
1,5,7,8,4,3,6
2,4,8,7,5,6,3
3,3,7,6,4,8,5
4,7,4,5,8,3,6
5,3,4,6,8,5,7
6,8,7,5,4,3,6
7,7,5,6,4,3,8
8,6,3,4,5,7,8
9,3,6,5,4,8,7
10,8,7,4,3,5,6
11,8,6,7,3,4,5
12,7,6,8,5,4,3
13,3,5,7,4,8,6
14,8,4,5,7,6,3
15,5,3,6,7,4,8
16,6,7,3,4,5,8
17,6,8,7,5,3,4
18,3,4,5,7,8,6
19,8,4,7,5,6,3
20,6,8,3,4,5,7
21,7,3,6,5,8,4
22,3,6,7,5,8,4
23,7,4,8,6,3,5
24,8,4,3,5,7,6
25,3,4,8,5,7,6
26,4,5,3,6,7,8
27,3,4,8,7,6,5
28,3,6,7,5,4,8
29,4,5,7,8,3,6
30,8,6,4,7,5,3
31,5,3,6,4,8,7
32,6,5,7,8,4,3
33,8,7,4,6,3,5
34,3,8,7,6,5,4
35,7,4,8,6,5,3
36,5,6,8,4,7,3
37,8,5,7,4,6,3
38,3,4,7,5,6,8
39,6,7,5,3,8,4
40,4,3,5,7,8,6
41,7,3,8,6,4,5
42,4,3,7,6,5,8
43,7,5,4,8,6,3
44,5,3,6,8,4,7
45,3,8,4,6,5,7
