,0,1,2,3,4,5,6,7
0,3.26,6.06,11.26,7.89,12.34,5.87,7.47,5.0
1,3.2,7.72,1.65,4.27,11.41,12.31,11.8,7.52
2,6.85,9.51,8.47,3.25,1.02,3.35,7.43,2.57
3,5.47,8.65,10.67,2.25,3.22,11.31,4.85,10.45
4,3.47,9.87,8.65,9.44,1.68,7.42,10.15,3.45
5,3.75,8.13,6.22,2.19,4.95,1.53,5.28,4.76
6,4.84,4.97,3.92,4.55,5.41,11.11,5.76,10.54
7,10.14,1.77,3.28,8.65,10.99,11.88,6.41,11.5
8,1.49,2.14,12.11,9.98,5.64,9.75,12.93,6.09
9,8.3,6.56,3.74,11.58,1.44,1.69,11.75,11.0
10,1.12,9.48,4.72,10.33,7.06,12.33,1.57,10.2
11,5.23,11.88,10.79,6.9,10.35,10.67,3.81,9.03
12,3.25,3.65,3.53,7.54,7.18,10.38,2.43,4.46
13,1.23,8.74,10.16,1.49,6.47,3.24,3.34,9.77
14,1.06,3.04,10.57,10.23,12.43,7.38,8.88,10.05
15,4.47,8.32,4.84,6.82,11.88,3.24,1.17,9.64
16,7.07,4.56,5.63,7.59,4.57,2.28,10.36,8.69
17,12.99,12.81,7.39,3.85,1.14,8.39,7.78,8.31
18,6.26,2.68,2.12,4.21,4.74,12.79,5.92,10.63
19,1.77,8.2,1.92,2.69,6.35,11.06,4.54,4.22
20,2.19,6.09,3.96,5.35,5.77,4.03,3.16,11.2
21,11.37,12.14,10.36,6.71,4.2,5.26,2.81,6.77
22,6.3,8.87,10.35,5.78,5.94,5.67,6.05,4.72
23,2.33,4.31,9.6,9.92,7.99,8.48,8.65,10.57
24,2.59,11.43,7.43,5.62,1.65,11.57,11.33,4.12
25,12.56,6.04,3.7,3.88,1.82,7.08,11.97,7.4
26,1.12,3.74,8.2,10.44,9.45,4.85,3.99,1.01
27,8.94,2.65,6.07,7.34,11.45,3.23,3.01,7.16
28,3.09,10.0,11.3,7.42,3.81,8.51,2.42,2.72
29,10.77,10.95,11.79,4.75,3.24,8.81,2.81,10.56
30,12.45,7.12,4.08,12.4,1.42,6.45,3.17,5.82
31,5.46,1.22,8.84,12.45,10.68,1.56,10.21,9.13
32,4.19,8.06,1.23,3.84,8.19,12.1,11.52,8.71
33,9.09,5.67,3.51,7.2,6.75,4.49,2.12,11.65
34,10.78,3.38,11.81,4.02,12.25,12.95,10.21,10.23
35,2.22,2.55,6.87,6.19,12.27,10.2,8.02,3.62
36,4.99,12.82,5.33,4.17,7.75,11.89,10.37,10.45
37,2.01,1.83,9.85,12.25,10.97,12.71,9.02,1.49
38,1.78,4.12,6.81,9.68,3.14,11.29,8.33,11.67
39,3.43,9.81,1.52,12.33,2.61,4.28,10.08,10.35
40,2.08,7.59,11.08,8.21,3.49,8.54,1.66,4.54
41,12.5,8.88,4.92,8.05,5.83,11.77,11.86,2.02
42,6.77,2.74,8.89,9.18,3.66,6.21,8.52,12.76
43,6.5,12.32,11.02,11.73,12.64,12.44,8.64,8.22
44,3.07,3.18,5.46,11.65,9.12,7.58,9.56,12.27
45,5.58,9.66,7.33,9.53,9.59,6.24,5.89,7.51
