,0,1,2,3,4,5,6,7
0,1,0,0,0,1,1,0,1
1,1,1,0,0,0,0,0,0
2,1,1,0,1,1,0,0,1
3,0,1,0,0,0,0,1,1
4,1,1,0,0,0,0,0,0
5,1,1,0,1,1,1,1,0
6,1,0,0,0,1,0,0,1
7,1,1,1,0,0,1,0,1
8,0,0,1,0,1,0,0,1
9,1,0,0,0,0,1,0,1
10,1,0,0,0,1,1,0,0
11,0,0,0,0,1,1,0,0
12,0,1,0,0,1,1,0,0
13,0,0,1,1,0,1,1,1
14,1,1,1,1,1,0,0,0
15,0,1,0,1,1,0,1,1
16,1,0,0,0,1,0,0,1
17,1,0,0,0,1,1,1,1
18,1,1,1,1,1,0,1,1
19,0,1,0,0,0,0,1,0
20,0,1,1,0,0,1,1,1
21,1,1,1,0,0,0,1,1
22,1,1,0,0,1,1,0,0
23,0,1,0,0,1,1,0,1
24,1,1,0,1,1,1,1,1
25,0,1,0,1,1,1,1,1
26,0,0,1,1,0,1,1,1
27,0,1,1,1,0,0,0,1
28,1,0,0,1,1,0,1,0
29,1,1,0,0,0,0,1,1
30,1,1,1,1,1,1,0,1
31,0,0,0,1,1,0,0,1
32,1,1,0,0,0,0,1,0
33,0,1,1,0,0,0,1,1
34,1,0,1,1,1,0,1,1
35,1,0,1,1,1,1,1,0
36,0,1,0,1,1,0,0,0
37,1,0,0,0,1,1,1,1
38,0,0,0,0,1,0,0,0
39,1,1,0,1,0,1,0,1
40,0,0,1,1,1,1,1,0
41,0,1,0,1,1,1,0,1
42,1,1,1,1,1,1,1,0
43,0,0,0,1,0,1,0,0
44,0,1,0,0,0,0,0,0
45,1,1,1,1,1,0,1,1
