,0,1,2,3,4,5,6,7
0,1,0,0,0,1,0,0,1
1,1,0,0,0,0,0,1,1
2,0,1,0,0,0,0,1,1
3,1,1,0,0,0,0,0,0
4,1,0,0,0,1,1,1,0
5,1,1,0,0,1,0,0,0
6,1,1,0,0,1,1,0,0
7,1,1,0,1,1,0,1,0
8,1,1,1,0,0,1,0,1
9,1,0,0,0,0,1,1,0
10,1,1,0,0,0,1,0,0
11,1,0,1,0,0,0,0,0
12,1,0,1,1,1,1,0,0
13,0,0,0,0,1,0,1,0
14,0,1,0,1,1,0,1,1
15,1,0,0,0,1,0,0,0
16,1,0,0,1,0,0,0,0
17,0,0,0,1,1,1,0,1
18,1,1,0,1,1,0,1,1
19,1,0,1,1,1,0,0,1
20,0,0,0,1,0,1,0,0
21,1,0,0,1,1,1,0,0
22,0,0,1,0,0,1,1,0
23,1,1,1,0,1,0,0,0
24,0,0,1,1,0,0,0,0
25,1,1,1,0,0,1,0,0
26,0,0,1,0,0,1,1,0
27,0,0,1,0,0,0,1,1
28,1,0,0,1,1,0,1,0
29,0,1,0,0,0,0,1,1
30,0,0,1,1,1,0,1,1
31,1,0,0,0,0,1,1,0
32,1,1,0,0,0,1,0,0
33,1,0,1,0,1,0,1,0
34,1,0,1,0,0,0,0,1
35,0,1,0,1,0,1,0,0
36,1,1,0,1,1,0,1,1
37,0,0,1,0,0,0,1,1
38,0,1,0,1,1,1,1,1
39,1,1,1,1,1,0,0,1
40,0,0,1,1,0,1,1,1
41,1,1,0,1,0,1,1,0
42,1,0,0,0,0,0,0,1
43,1,1,0,1,0,1,1,1
44,0,1,1,0,0,1,0,0
45,1,0,1,1,1,1,1,0
