,0,1,2,3,4,5,6,7
0,1,1,0,1,0,1,1,1
1,1,1,1,0,1,1,1,0
2,1,1,0,1,1,1,1,1
3,1,1,1,0,0,0,0,0
4,1,0,0,1,1,1,0,0
5,1,0,0,1,0,0,1,1
6,0,1,1,0,1,1,0,0
7,0,0,0,1,0,0,1,0
8,0,1,1,1,0,0,0,1
9,0,1,1,0,0,1,0,0
10,1,0,0,0,1,0,0,1
11,0,0,1,0,1,0,1,0
12,1,0,0,1,0,1,1,1
13,0,0,0,1,1,0,0,1
14,1,1,0,0,1,1,0,1
15,1,0,0,1,1,0,1,1
16,0,1,0,1,0,0,0,1
17,0,1,0,1,1,0,1,0
18,1,1,0,1,0,1,1,1
19,1,0,1,0,1,1,1,1
20,0,0,1,0,0,1,1,1
21,0,0,1,0,0,1,1,1
22,1,0,0,1,0,1,1,1
23,1,0,0,1,1,1,0,0
24,0,1,1,0,0,1,0,1
25,1,1,1,1,0,0,0,0
26,1,1,0,1,1,0,1,1
27,0,1,1,1,1,1,0,0
28,0,0,0,1,0,1,0,0
29,1,0,0,0,1,0,0,0
30,1,1,0,1,0,0,1,1
31,0,0,0,1,1,1,0,1
32,0,1,1,1,0,0,1,1
33,0,0,0,1,1,1,0,1
34,0,0,0,0,1,1,1,1
35,0,0,0,1,1,1,0,0
36,0,1,1,1,0,0,1,0
37,1,0,0,0,1,1,1,0
38,1,1,0,0,0,1,1,0
39,1,0,0,0,0,1,1,1
40,0,1,1,0,0,0,0,0
41,1,1,0,1,1,0,0,0
42,0,1,1,0,0,0,1,1
43,0,1,0,0,1,1,1,1
44,1,1,0,1,1,0,1,1
45,1,0,1,1,1,1,0,1
