,0,1,2,3,4,5,6,7
0,13,8,12,12,14,11,14,14
1,16,14,13,15,16,8,8,14
2,15,13,12,10,16,13,10,15
3,15,10,15,8,9,10,13,14
4,10,8,10,12,15,9,15,9
5,8,15,11,13,16,13,12,12
6,14,8,8,15,9,15,14,13
7,12,14,16,15,9,11,12,8
8,10,12,14,14,15,8,11,14
9,15,14,16,11,13,14,12,15
10,10,12,14,8,12,12,16,15
11,8,9,14,10,14,9,14,8
12,8,11,13,8,9,16,12,11
13,14,13,15,12,13,13,9,12
14,10,16,15,13,16,13,15,15
15,14,16,9,15,15,12,15,16
16,15,16,8,14,9,13,16,11
17,11,10,13,8,12,8,12,13
18,12,16,10,16,12,9,14,16
19,12,12,12,16,14,8,10,16
20,15,16,14,15,14,12,11,9
21,14,10,10,9,10,11,8,14
22,15,10,13,16,16,8,13,12
23,8,9,13,10,12,15,8,8
24,9,8,10,13,15,9,11,11
25,10,12,16,13,14,14,12,9
26,15,9,10,8,15,12,14,8
27,11,9,13,8,8,8,12,9
28,12,12,10,16,9,14,11,10
29,9,12,15,8,9,12,10,14
30,9,11,15,8,15,11,13,9
31,15,12,9,10,9,10,8,10
32,12,16,16,9,9,8,16,10
33,16,16,9,13,15,12,8,11
34,16,14,13,15,15,12,10,15
35,14,15,8,8,14,11,15,8
36,8,8,10,16,14,10,9,8
37,12,15,16,10,11,14,14,14
38,11,14,12,13,15,10,14,13
39,8,9,14,10,15,12,16,16
40,12,13,12,16,11,16,14,11
41,15,12,16,11,11,14,10,11
42,14,10,11,10,16,10,16,9
43,10,13,14,10,16,13,16,12
44,14,11,14,13,12,12,10,9
45,16,15,13,14,9,8,9,8
