,0,1,2,3,4,5,6,7
0,1,1,0,1,0,1,0,1
1,1,0,1,0,1,1,1,1
2,1,1,1,0,0,0,1,1
3,1,0,1,0,1,0,0,1
4,0,1,1,0,1,1,1,1
5,0,0,1,1,0,1,0,1
6,1,1,1,1,0,0,0,1
7,0,0,1,1,1,0,1,0
8,0,1,1,0,0,1,0,1
9,0,1,1,0,0,1,1,1
10,1,1,1,0,0,0,1,0
11,1,0,1,0,1,1,1,0
12,1,0,0,0,0,0,0,1
13,1,0,0,0,1,0,1,0
14,1,0,1,1,1,0,0,1
15,1,1,1,1,0,0,0,1
16,0,0,0,1,1,0,0,1
17,1,1,1,0,0,1,0,1
18,0,1,0,0,1,0,0,0
19,0,1,1,1,0,0,0,0
20,1,0,1,0,0,0,1,0
21,1,0,1,0,0,1,0,0
22,0,1,0,1,0,1,0,1
23,0,1,1,0,0,0,1,0
24,0,1,0,0,1,1,1,1
25,0,1,1,1,1,1,0,0
26,0,1,1,0,1,0,1,1
27,1,1,0,1,0,0,1,0
28,1,0,0,1,1,1,0,1
29,1,1,1,0,1,1,0,1
30,1,1,1,1,1,1,1,0
31,0,0,0,0,0,1,0,1
32,0,1,1,1,1,1,0,1
33,1,0,0,1,1,1,1,0
34,0,0,0,0,1,1,0,0
35,1,1,0,1,1,1,0,1
36,0,1,1,0,0,0,1,0
37,1,0,0,0,1,0,1,0
38,1,1,0,1,0,0,0,0
39,1,0,1,0,1,0,1,1
40,1,0,0,1,0,1,1,1
41,1,0,1,0,1,1,0,0
42,0,0,0,0,1,0,1,1
43,0,0,0,0,0,1,1,1
44,0,1,1,1,0,0,0,0
45,1,1,0,1,0,0,0,0
