,0,1,2,3,4,5,6,7
0,0,1,0,0,1,1,0,0
1,1,0,0,1,0,1,0,0
2,0,0,1,0,1,0,1,0
3,1,0,1,1,0,0,0,1
4,0,1,0,1,1,0,0,0
5,1,0,0,0,1,0,1,0
6,0,1,1,1,0,1,0,0
7,1,0,0,1,0,1,0,1
8,0,1,0,0,0,1,0,1
9,0,1,1,1,1,0,1,1
10,1,1,0,1,0,1,0,0
11,0,0,1,1,0,1,0,1
12,0,1,1,1,0,1,1,1
13,1,0,1,0,1,0,1,1
14,0,0,0,1,0,1,0,1
15,0,0,1,1,0,0,1,0
16,0,1,1,0,1,1,1,1
17,1,0,1,1,1,0,1,0
18,0,0,0,0,1,0,1,0
19,1,1,0,0,0,1,1,1
20,1,1,1,1,0,0,1,1
21,0,1,0,0,0,0,1,1
22,1,1,1,0,1,1,1,1
23,0,0,1,0,0,0,1,0
24,0,1,0,0,0,1,1,1
25,1,1,0,1,0,0,0,0
26,0,1,0,0,1,0,1,0
27,0,0,0,0,0,0,0,0
28,0,0,1,1,1,1,0,0
29,0,1,1,0,1,1,0,1
30,0,1,1,1,0,0,0,0
31,1,1,1,0,1,0,0,0
32,0,1,0,1,0,1,1,0
33,1,0,0,0,0,1,0,0
34,0,0,0,1,1,0,0,0
35,0,1,1,1,0,0,0,0
36,1,0,1,0,1,1,1,0
37,1,0,0,0,1,0,0,1
38,0,1,0,0,1,1,1,0
39,1,1,1,1,0,0,0,1
40,1,0,1,1,0,0,0,1
41,0,0,0,0,1,0,1,1
42,1,0,1,0,0,1,0,1
43,0,1,1,0,0,1,1,0
44,1,0,0,1,1,1,0,1
45,0,1,1,0,1,1,1,0
