,0,1,2,3,4,5,6,7
0,6,7,3,9,4,10,5,8
1,10,8,4,5,7,3,6,9
2,9,3,5,8,4,10,6,7
3,8,4,5,10,9,3,6,7
4,5,8,9,10,3,6,7,4
5,5,6,8,7,9,3,10,4
6,3,4,5,6,8,10,9,7
7,3,7,6,5,4,10,9,8
8,5,6,10,8,9,3,4,7
9,10,9,8,4,7,5,3,6
10,4,9,8,5,6,7,3,10
11,6,7,10,8,9,5,4,3
12,8,3,5,4,7,10,6,9
13,9,8,6,7,3,10,5,4
14,8,10,4,5,9,6,7,3
15,4,8,3,5,9,7,10,6
16,6,5,3,9,7,8,10,4
17,3,7,6,9,8,5,10,4
18,10,9,3,4,6,5,7,8
19,4,5,8,3,6,7,9,10
20,8,4,3,7,5,6,10,9
21,3,8,10,5,4,7,9,6
22,9,10,5,4,7,3,8,6
23,7,8,4,10,6,3,9,5
24,4,7,5,9,10,6,3,8
25,5,3,4,7,6,9,10,8
26,3,8,9,7,5,10,6,4
27,7,6,8,9,3,10,4,5
28,10,4,6,3,5,7,8,9
29,9,3,4,6,8,7,5,10
30,10,7,9,6,5,8,3,4
31,3,9,5,10,8,6,7,4
32,8,5,10,3,6,7,4,9
33,4,7,3,9,10,8,5,6
34,9,3,4,8,10,7,5,6
35,3,9,4,10,7,8,5,6
36,9,8,4,7,3,6,10,5
37,8,5,9,6,4,3,10,7
38,7,6,8,4,3,5,9,10
39,4,7,9,5,3,8,10,6
40,9,5,4,8,10,3,6,7
41,3,8,5,10,9,4,6,7
42,8,9,10,5,6,3,4,7
43,9,5,4,10,3,6,7,8
44,4,6,10,7,3,8,9,5
45,7,6,3,8,10,9,4,5
