,0,1,2,3,4,5,6,7
0,0,1,0,1,1,0,0,1
1,0,1,1,1,1,1,1,0
2,0,0,1,1,1,1,0,0
3,1,0,0,0,0,0,0,0
4,0,1,0,1,0,1,1,0
5,1,0,1,1,0,1,0,0
6,0,1,1,0,0,0,1,1
7,1,0,0,0,0,0,1,1
8,1,0,0,0,1,0,1,1
9,1,0,1,0,0,1,1,0
10,1,1,1,1,1,0,1,1
11,0,1,1,0,0,1,0,1
12,0,1,0,1,0,1,1,0
13,1,0,1,1,0,0,0,0
14,0,1,0,0,1,0,1,1
15,1,1,0,1,0,0,0,1
16,0,0,1,1,1,0,1,0
17,0,0,1,1,0,1,0,0
18,1,1,1,0,1,0,0,1
19,1,1,1,1,0,0,0,0
20,1,1,0,0,0,0,0,1
21,1,1,1,0,1,0,0,0
22,1,1,0,1,0,0,0,1
23,1,1,0,1,1,0,0,1
24,1,1,0,0,1,0,1,1
25,1,1,0,1,1,0,1,1
26,1,0,0,0,1,0,1,0
27,0,0,0,1,1,0,0,0
28,1,1,0,0,0,1,1,0
29,0,1,0,0,1,1,0,0
30,0,0,0,1,0,1,0,0
31,0,1,0,1,1,0,0,0
32,1,1,1,1,0,0,0,1
33,0,0,1,1,1,0,0,1
34,1,1,0,1,1,1,0,1
35,0,1,0,0,1,1,0,0
36,0,0,1,1,1,1,1,0
37,0,0,1,0,0,1,1,0
38,1,1,0,0,1,0,0,0
39,1,1,1,0,0,1,1,1
40,0,1,1,0,0,1,1,0
41,1,1,0,1,1,0,0,1
42,0,1,1,0,0,1,0,0
43,1,1,0,0,0,1,1,1
44,1,1,0,1,1,1,0,0
45,0,1,1,0,1,1,0,1
