,0,1,2,3,4,5,6,7
0,0,1,0,0,1,0,1,1
1,0,0,0,1,1,1,1,0
2,1,1,0,0,0,0,0,0
3,1,0,1,1,1,0,1,1
4,0,1,0,1,1,1,1,0
5,1,1,1,1,0,1,0,0
6,0,1,0,0,0,1,1,0
7,0,1,0,0,0,1,0,0
8,1,0,0,1,1,1,0,0
9,1,0,0,0,1,0,0,0
10,0,0,1,0,1,1,0,0
11,1,1,0,0,1,0,0,1
12,0,0,1,0,0,0,1,1
13,0,1,0,1,1,0,0,1
14,0,1,1,1,1,0,0,0
15,1,1,1,0,1,0,1,1
16,1,0,0,0,0,0,1,1
17,1,1,1,1,1,1,1,1
18,1,0,1,0,0,0,1,1
19,0,1,1,1,0,0,1,0
20,1,1,0,1,1,1,1,1
21,1,1,0,1,1,0,1,1
22,1,1,1,1,1,0,0,0
23,0,1,1,1,1,0,1,0
24,1,0,1,0,1,0,0,0
25,0,1,1,1,1,0,0,0
26,1,0,1,1,0,0,1,0
27,0,0,1,0,0,0,0,1
28,0,1,1,1,0,1,1,1
29,0,1,1,0,1,0,0,0
30,0,1,1,0,1,0,0,1
31,0,1,0,1,1,1,0,0
32,0,0,0,0,0,0,1,0
33,0,0,0,1,0,0,0,0
34,1,1,1,0,1,1,0,1
35,0,1,1,0,0,0,1,1
36,1,0,1,1,0,1,0,1
37,0,0,1,0,1,1,1,1
38,1,0,1,0,0,1,1,1
39,1,1,1,1,0,0,0,1
40,0,1,1,1,1,0,0,0
41,0,1,0,1,1,1,0,0
42,1,0,1,1,1,0,1,0
43,1,1,1,0,1,1,0,1
44,0,1,0,1,0,0,1,1
45,0,0,0,1,1,1,0,0
