,0,1,2,3,4,5,6,7
0,0,1,1,0,1,1,1,1
1,1,1,1,0,0,1,1,1
2,0,0,0,0,0,0,0,0
3,1,0,0,1,0,0,1,1
4,0,1,0,1,0,0,1,0
5,0,1,1,0,0,0,0,1
6,0,1,1,1,1,1,0,1
7,1,0,0,0,1,1,1,1
8,1,0,1,1,1,0,0,1
9,1,1,1,1,0,0,1,1
10,0,0,1,0,1,0,1,1
11,0,1,0,0,1,1,1,0
12,0,1,0,0,0,1,1,1
13,0,1,1,1,0,1,1,0
14,0,1,1,1,0,1,1,0
15,0,1,0,0,0,1,0,1
16,0,1,0,0,1,0,1,1
17,1,0,1,0,1,0,1,1
18,0,0,1,1,1,0,0,1
19,0,0,1,1,0,1,0,1
20,1,0,0,0,1,1,1,1
21,0,1,1,1,1,0,1,1
22,1,1,0,1,0,0,1,0
23,1,1,1,0,0,1,0,1
24,0,1,1,0,0,0,1,1
25,0,1,1,0,1,1,1,0
26,0,0,0,1,0,0,1,1
27,0,1,1,0,1,1,1,1
28,1,0,0,0,1,1,1,0
29,1,0,1,1,0,0,0,0
30,0,1,1,0,1,0,1,1
31,0,1,0,0,1,0,0,1
32,1,0,0,1,1,0,0,0
33,0,1,1,0,1,0,0,1
34,0,1,0,1,1,1,1,1
35,1,1,0,0,1,0,0,0
36,1,1,1,1,0,1,0,0
37,1,0,1,1,0,1,0,0
38,1,0,1,0,1,0,0,0
39,1,0,1,0,0,1,0,0
40,1,0,1,0,0,1,0,0
41,1,0,0,1,0,1,1,0
42,1,1,1,0,0,0,0,0
43,1,0,0,0,1,1,0,0
44,1,1,0,1,0,1,1,0
45,1,0,1,1,1,1,0,1
