,0,1,2,3,4,5,6,7
0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1
2,0,0,1,0,0,1,1,0
3,0,1,0,0,0,1,1,0
4,0,1,0,1,0,0,0,1
5,0,1,1,0,1,0,0,0
6,0,0,1,1,0,1,0,0
7,1,0,0,1,0,0,1,1
8,1,1,1,0,0,1,0,0
9,0,1,1,0,1,1,1,0
10,0,0,1,0,1,1,0,0
11,0,1,0,0,1,1,0,1
12,1,0,0,1,0,1,0,0
13,1,1,1,0,1,1,0,1
14,1,0,0,0,0,1,1,0
15,1,0,1,1,1,0,0,0
16,0,1,0,0,0,0,0,1
17,1,1,0,0,1,0,0,0
18,1,1,1,1,1,0,0,1
19,0,0,0,1,1,1,0,1
20,0,0,0,0,1,0,0,1
21,1,1,0,0,1,1,0,0
22,0,1,0,0,0,0,1,1
23,1,0,1,0,1,1,1,1
24,0,1,1,1,0,1,0,1
25,1,1,1,0,1,1,0,0
26,0,0,1,0,1,0,1,0
27,1,1,0,0,0,1,1,1
28,0,0,0,0,1,1,1,0
29,0,1,1,1,1,1,1,0
30,0,1,0,1,0,1,1,0
31,1,0,1,1,1,1,0,0
32,0,1,0,0,1,0,1,1
33,1,1,1,1,1,1,1,0
34,1,0,0,0,0,0,0,1
35,0,1,1,1,1,1,0,0
36,0,1,1,0,1,0,1,0
37,0,1,1,0,0,0,0,1
38,0,0,1,1,1,0,1,1
39,0,1,0,0,0,1,1,0
40,1,0,1,0,1,1,0,1
41,0,1,1,0,0,0,0,0
42,0,1,0,0,1,1,0,0
43,0,1,0,1,0,0,1,0
44,1,0,1,1,0,1,0,1
45,1,1,0,1,0,1,0,0
