,0,1,2,3,4,5,6,7
0,1,1,0,0,1,0,1,0
1,1,1,1,0,0,0,1,1
2,0,0,1,0,0,1,0,0
3,0,0,1,1,1,1,0,0
4,1,0,0,1,0,0,0,0
5,0,0,0,1,1,0,0,1
6,1,0,0,0,0,0,0,1
7,0,1,1,1,0,1,0,1
8,1,0,1,1,1,1,0,0
9,0,0,1,1,1,0,0,0
10,1,0,0,1,1,0,1,0
11,0,0,0,0,1,0,1,0
12,0,0,0,0,1,1,0,0
13,1,0,0,1,0,0,0,0
14,0,0,1,0,0,1,1,0
15,1,1,0,1,1,1,1,1
16,1,0,0,0,1,1,0,0
17,0,1,0,1,1,0,1,0
18,1,0,1,1,1,1,1,0
19,0,0,1,1,1,1,0,1
20,1,0,0,1,0,1,0,1
21,1,1,0,1,0,1,1,0
22,1,0,0,0,1,0,0,0
23,1,0,0,0,1,1,1,0
24,1,0,0,1,1,0,1,1
25,1,1,1,0,0,0,0,0
26,1,0,1,1,1,1,1,1
27,0,1,0,1,0,0,0,0
28,1,0,0,0,1,0,1,0
29,1,1,0,1,1,0,1,1
30,0,1,1,0,1,0,1,0
31,1,1,1,0,1,1,1,0
32,0,1,1,1,0,0,0,1
33,0,0,0,1,0,0,1,1
34,1,0,1,0,0,0,1,0
35,1,1,1,0,0,0,0,0
36,1,0,1,0,1,0,0,1
37,0,0,0,1,1,1,1,1
38,0,1,1,0,1,1,0,1
39,0,0,1,1,1,1,0,0
40,0,1,1,0,0,0,1,1
41,1,0,0,0,1,0,1,0
42,1,0,0,0,0,0,1,1
43,0,1,1,1,0,1,0,0
44,0,1,1,0,1,1,1,1
45,0,0,0,0,1,0,0,1
