,0,1,2,3,4,5,6,7
0,1,0,0,1,0,1,1,0
1,0,1,1,0,1,0,0,1
2,0,0,0,0,1,1,1,0
3,0,1,1,0,0,0,0,0
4,1,1,0,1,1,1,0,1
5,0,0,0,0,1,1,0,1
6,1,1,1,0,1,0,1,0
7,0,0,1,0,0,0,1,1
8,1,1,1,1,1,0,0,1
9,0,0,0,0,1,1,1,1
10,1,1,0,0,1,1,0,0
11,1,1,0,1,0,1,0,0
12,0,1,1,1,1,0,0,0
13,0,1,1,0,0,1,0,1
14,0,1,1,1,1,0,1,0
15,1,1,1,0,0,1,1,0
16,1,1,1,1,0,0,1,0
17,0,0,1,0,0,1,0,0
18,1,1,1,1,0,1,1,1
19,0,1,1,0,1,0,1,0
20,1,1,1,0,1,1,1,1
21,1,1,0,1,0,1,1,1
22,1,1,0,0,0,0,0,0
23,0,1,1,1,1,1,1,1
24,0,0,0,1,1,1,1,0
25,0,0,0,0,0,0,0,1
26,1,1,0,1,1,0,1,1
27,0,1,1,0,1,1,0,1
28,1,0,1,1,0,1,0,1
29,1,0,1,1,1,1,1,0
30,1,1,1,1,1,0,1,1
31,1,1,0,1,1,0,0,1
32,1,0,1,1,0,1,1,0
33,1,1,1,1,1,0,0,0
34,1,1,0,1,1,0,0,0
35,1,0,0,0,0,1,0,0
36,1,0,1,0,1,1,0,1
37,0,0,1,0,0,0,0,0
38,0,1,1,0,1,0,1,1
39,1,1,0,1,1,0,1,1
40,0,0,0,1,1,0,0,0
41,1,1,1,0,0,0,0,0
42,0,0,0,1,1,1,1,0
43,0,0,0,1,0,1,1,1
44,0,0,1,1,0,1,0,0
45,1,1,1,1,0,0,1,0
