,0,1,2,3,4,5,6,7
0,1,0,1,1,0,1,1,1
1,1,0,1,0,1,0,0,1
2,1,1,1,0,0,1,1,1
3,0,0,0,0,0,0,1,0
4,0,1,1,0,1,1,1,1
5,1,1,0,0,0,1,0,0
6,0,0,1,1,0,0,0,1
7,1,0,0,0,0,1,1,0
8,0,0,1,0,0,1,0,0
9,0,0,0,1,1,0,0,0
10,1,1,1,1,0,0,0,0
11,0,1,1,0,0,1,0,1
12,0,1,1,1,1,0,1,0
13,1,1,0,1,1,0,1,0
14,1,1,1,0,1,1,1,1
15,1,1,0,1,0,1,1,0
16,1,1,0,1,1,0,0,1
17,1,1,1,0,0,1,1,1
18,0,1,0,1,0,0,0,1
19,1,0,1,1,0,0,1,1
20,1,0,1,0,1,1,0,1
21,0,0,1,0,0,0,1,0
22,0,0,1,1,1,1,0,1
23,0,0,1,0,0,0,0,1
24,1,1,1,1,1,0,1,0
25,0,1,0,0,1,0,0,1
26,0,1,1,0,0,0,1,1
27,0,1,0,1,0,1,1,1
28,0,0,0,1,0,0,0,1
29,0,0,1,0,1,0,1,1
30,0,0,1,1,1,0,0,0
31,1,1,0,0,0,0,1,1
32,1,0,0,1,0,0,1,0
33,1,1,1,1,1,1,1,0
34,0,1,1,0,0,0,1,0
35,0,1,1,1,1,1,0,0
36,1,0,1,1,0,1,0,1
37,1,0,0,1,0,0,1,1
38,1,0,0,0,0,0,0,1
39,0,0,0,0,0,1,1,1
40,1,0,1,0,1,0,1,0
41,0,1,1,0,0,0,1,0
42,0,1,1,0,0,1,0,0
43,1,0,0,0,1,1,0,1
44,0,1,1,1,1,1,0,0
45,0,0,1,0,0,0,1,1
