,0,1,2,3,4,5,6,7,8,9,10,11
0,37,35,41,42,33,32,41,44,42,35,39,34
1,42,42,39,38,40,39,36,33,39,33,44,39
2,33,32,37,36,37,37,34,33,37,42,35,38
3,44,36,32,40,34,41,38,41,39,34,36,44
4,37,43,36,33,42,35,35,42,33,41,37,39
5,38,43,35,33,41,44,36,33,44,37,42,36
6,35,40,40,33,40,39,42,39,40,34,32,33
7,42,41,37,42,33,32,40,35,42,32,40,37
8,40,39,43,37,36,44,39,35,33,32,43,42
9,41,34,35,36,34,34,34,36,41,43,34,36
10,43,34,38,39,39,34,39,44,43,44,44,38
11,40,33,42,38,34,38,38,40,41,44,39,33
12,40,42,40,33,32,32,34,35,40,33,34,35
13,32,37,32,40,35,32,39,40,41,40,41,34
14,33,32,35,32,39,43,34,37,42,40,35,40
15,38,44,38,32,33,33,42,33,43,34,40,42
16,34,40,32,41,37,38,33,43,37,42,36,37
17,38,35,43,41,36,33,39,37,39,41,34,40
18,38,32,36,33,40,44,43,41,41,43,41,44
19,43,40,37,41,32,32,34,33,37,42,35,35
20,44,34,34,43,35,32,38,33,40,41,34,36
21,35,39,34,32,32,35,36,37,33,36,32,35
22,42,39,42,40,37,36,41,37,34,32,41,42
23,44,34,34,33,34,33,33,40,36,41,43,35
24,41,42,33,43,40,39,34,41,33,34,38,43
25,43,34,44,44,34,37,39,38,43,34,44,42
26,38,43,33,42,42,36,43,35,41,41,43,39
27,41,38,37,38,35,44,38,40,39,33,35,39
28,39,32,36,32,42,38,38,43,39,44,39,38
29,39,36,40,42,35,32,41,44,38,44,33,44
30,39,35,33,41,39,39,41,40,36,40,38,39
31,39,33,43,41,42,43,39,39,40,32,36,35
32,44,44,32,43,34,42,43,36,32,43,38,44
33,41,37,34,43,34,33,33,36,40,38,43,37
34,36,40,34,34,38,33,32,34,37,35,37,36
35,37,33,34,43,40,41,34,43,40,43,39,32
36,38,44,41,34,41,41,36,42,40,40,41,38
37,41,37,38,38,41,42,44,37,36,39,38,32
38,34,43,33,36,42,34,35,32,44,37,34,32
39,43,33,42,41,42,35,43,33,44,34,44,38
40,38,33,41,43,41,42,41,42,33,39,38,39
41,37,38,41,44,44,39,32,38,41,35,33,32
42,35,41,42,41,40,43,37,35,37,41,41,42
43,40,40,39,33,37,44,37,37,36,37,35,43
44,41,38,41,33,32,39,34,41,36,42,32,32
45,35,32,34,41,33,42,41,34,40,43,39,33
